Grammar Point,Sentence Type,Structure,Meaning (VI),Grammar Example
Present Simple,Kh?ng d?nh,S + V(s/es) + O,"Thói quen, s? th?t hi?n nhiên",She reads books every day.
Present Simple,Ph? d?nh,S + do/does + not + V + O,"Thói quen, s? th?t hi?n nhiên",She does not read books every day.
Present Simple,Nghi v?n,Do/Does + S + V + O?,"Thói quen, s? th?t hi?n nhiên",Does she read books every day?
Present Continuous,Kh?ng d?nh,S + am/is/are + V-ing,Hành d?ng dang x?y ra lúc nói,They are playing football now.
Present Continuous,Ph? d?nh,S + am/is/are + not + V-ing,Hành d?ng dang x?y ra lúc nói,They are not playing football now.
Present Continuous,Nghi v?n,Am/Is/Are + S + V-ing?,Hành d?ng dang x?y ra lúc nói,Are they playing football now?
Present Perfect,Kh?ng d?nh,S + have/has + V3,Hành d?ng v?a xong ho?c liên quan hi?n t?i,He has finished his homework.
Present Perfect,Ph? d?nh,S + have/has + not + V3,Hành d?ng v?a xong ho?c liên quan hi?n t?i,He has not finished his homework.
Present Perfect,Nghi v?n,Have/Has + S + V3?,Hành d?ng v?a xong ho?c liên quan hi?n t?i,Has he finished his homework?
Present Perfect Continuous,Kh?ng d?nh,S + have/has + been + V-ing,Hành d?ng b?t d?u trong QK và v?n ti?p di?n,She has been working here for 5 years.
Present Perfect Continuous,Ph? d?nh,S + have/has + not + been + V-ing,Hành d?ng b?t d?u trong QK và v?n ti?p di?n,She has not been working here for 5 years.
Present Perfect Continuous,Nghi v?n,Have/Has + S + been + V-ing?,Hành d?ng b?t d?u trong QK và v?n ti?p di?n,Has she been working here for 5 years?
Past Simple,Kh?ng d?nh,S + V2 + O,Hành d?ng dã x?y ra và k?t thúc trong quá kh?,He visited his grandmother last Sunday.
Past Simple,Ph? d?nh,S + did + not + V + O,Hành d?ng dã x?y ra và k?t thúc trong quá kh?,He did not visit his grandmother last Sunday.
Past Simple,Nghi v?n,Did + S + V + O?,Hành d?ng dã x?y ra và k?t thúc trong quá kh?,Did he visit his grandmother last Sunday?
Past Continuous,Kh?ng d?nh,S + was/were + V-ing,Hành d?ng dang x?y ra t?i m?t th?i di?m trong QK,She was cooking when I arrived.
Past Continuous,Ph? d?nh,S + was/were + not + V-ing,Hành d?ng dang x?y ra t?i m?t th?i di?m trong QK,She was not cooking when I arrived.
Past Continuous,Nghi v?n,Was/Were + S + V-ing?,Hành d?ng dang x?y ra t?i m?t th?i di?m trong QK,Was she cooking when I arrived?
Past Perfect,Kh?ng d?nh,S + had + V3,Hành d?ng x?y ra tru?c m?t hành d?ng khác trong QK,They had left before the rain started.
Past Perfect,Ph? d?nh,S + had + not + V3,Hành d?ng x?y ra tru?c m?t hành d?ng khác trong QK,They had not left before the rain started.
Past Perfect,Nghi v?n,Had + S + V3?,Hành d?ng x?y ra tru?c m?t hành d?ng khác trong QK,Had they left before the rain started?
Past Perfect Continuous,Kh?ng d?nh,S + had + been + V-ing,Hành d?ng kéo dài d?n m?t th?i di?m trong QK,He had been studying for 3 hours before dinner.
Past Perfect Continuous,Ph? d?nh,S + had + not + been + V-ing,Hành d?ng kéo dài d?n m?t th?i di?m trong QK,He had not been studying for 3 hours before dinner.
Past Perfect Continuous,Nghi v?n,Had + S + been + V-ing?,Hành d?ng kéo dài d?n m?t th?i di?m trong QK,Had he been studying for 3 hours before dinner?
Future Simple (will),Kh?ng d?nh,S + will + V,Quy?t d?nh t?c thì ho?c d? doán tuong lai,I will call you tomorrow.
Future Simple (will),Ph? d?nh,S + will not + V,Quy?t d?nh t?c thì ho?c d? doán tuong lai,I will not call you tomorrow.
Future Simple (will),Nghi v?n,Will + S + V?,Quy?t d?nh t?c thì ho?c d? doán tuong lai,Will you call me tomorrow?
Future (be going to),Kh?ng d?nh,S + am/is/are + going to + V,K? ho?ch ho?c d? d?nh dã chu?n b?,We are going to travel to Japan next month.
Future (be going to),Ph? d?nh,S + am/is/are + not + going to + V,K? ho?ch ho?c d? d?nh dã chu?n b?,We are not going to travel to Japan next month.
Future (be going to),Nghi v?n,Am/Is/Are + S + going to + V?,K? ho?ch ho?c d? d?nh dã chu?n b?,Are you going to travel to Japan next month?
Future Continuous,Kh?ng d?nh,S + will + be + V-ing,Hành d?ng s? dang x?y ra t?i m?t th?i di?m tuong lai,"This time next week, I will be flying to London."
Future Continuous,Ph? d?nh,S + will + not + be + V-ing,Hành d?ng s? dang x?y ra t?i m?t th?i di?m tuong lai,"This time next week, I will not be flying to London."
Future Continuous,Nghi v?n,Will + S + be + V-ing?,Hành d?ng s? dang x?y ra t?i m?t th?i di?m tuong lai,Will you be flying to London this time next week?
Future Perfect,Kh?ng d?nh,S + will + have + V3,Hành d?ng hoàn thành tru?c m?t th?i di?m tuong lai,"By Friday, she will have submitted the report."
Future Perfect,Ph? d?nh,S + will + not + have + V3,Hành d?ng hoàn thành tru?c m?t th?i di?m tuong lai,"By Friday, she will not have submitted the report."
Future Perfect,Nghi v?n,Will + S + have + V3?,Hành d?ng hoàn thành tru?c m?t th?i di?m tuong lai,Will she have submitted the report by Friday?
